,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
115,1000,150,6,6,6,Block Leverage,0.00798147923997459,0.1822681177968142,0.00890865577456946,0.16931583356777175,0.00907369527941827,0.1698590405604722
116,1000,150,6,6,6,Block Leverage,0.008628356820989731,0.18105453221804932,0.009231955822021881,0.1677229178822766,0.00932625423454402,0.16832739069758532
117,1000,150,6,6,6,Block Leverage,0.008718530555679073,0.18422136112403364,0.008960397571208999,0.1691663833774909,0.009114800523632807,0.16990939014060288
118,1000,150,6,6,6,Block Leverage,0.008440472065765143,0.18184971856318988,0.009091583477267842,0.16822311413971133,0.009132151539199313,0.16883548895119552
119,1000,150,6,6,6,Block Leverage,0.008438506779280623,0.18123455110118686,0.008959648438914995,0.16839774476276825,0.00907952358846046,0.16901055283658964
120,1000,150,6,6,6,Block Leverage,0.00837003419396125,0.17961799840295234,0.00899091928982608,0.1677809640716473,0.00909861137474833,0.1685185859612226
121,1000,150,6,6,6,Block Leverage,0.00818756077183992,0.18184431721083102,0.008947746921667792,0.16845532868751617,0.00906412507683453,0.16916949003271994
122,1000,150,6,6,6,Block Leverage,0.00834410100902273,0.18041902949874686,0.00869190480946546,0.1691880799969451,0.008817536744089092,0.17011875306537563
123,1000,150,6,6,6,Block Leverage,0.008292952937851417,0.1806365176909289,0.009107753212054807,0.16823129818138455,0.009211240218366494,0.16886476276074636
124,1000,150,6,6,6,Block Leverage,0.008436365971631544,0.18071079738527393,0.00892416565382758,0.16883433209195553,0.008977426921175712,0.16951652055908548
125,1000,150,6,6,6,Block Leverage,0.008030686610015629,0.1791980642422527,0.00896037120845434,0.16781599197603142,0.00903531876588638,0.16856606425001028
126,1000,150,6,6,6,Block Leverage,0.007853436165829394,0.17918457797704473,0.009088712694784706,0.16707085924016088,0.00913307845149615,0.1676398277198501
127,1000,150,6,6,6,Block Leverage,0.008357325304480011,0.1820465304823488,0.008860590931948631,0.16903531734129812,0.008964913090421807,0.16971611203738743
128,1000,150,6,6,6,Block Leverage,0.008425185670154314,0.18172642895508298,0.00907631870592718,0.1673012200909287,0.00918320044519044,0.1681243635619966
129,1000,150,6,6,6,Block Leverage,0.008548343660104102,0.181549146537975,0.008936416548704728,0.16921643783520757,0.008991257791964167,0.16977589575161717
130,1000,150,6,6,6,Block Leverage,0.008686933921320993,0.18107285121121314,0.009058150844979868,0.1676876114918148,0.009107020667306944,0.1684583995354257
131,1000,150,6,6,6,Block Leverage,0.008220243929595274,0.1792330712105597,0.008972226322922466,0.16709868513430598,0.009069241878866825,0.16775609983240433
132,1000,150,6,6,6,Block Leverage,0.008509825266303353,0.18229419457656248,0.008968968755281968,0.1681430394111837,0.009086609839732,0.1687617290664756
133,1000,150,6,6,6,Block Leverage,0.007959032016378879,0.1823134301892525,0.008983270379186614,0.1693262335313729,0.009094674688911467,0.16997729552123017
134,1000,150,6,6,6,Block Leverage,0.007893534680269656,0.18151914202416294,0.008977773303225895,0.16779109767350928,0.009047003990275497,0.1685054142019094
135,1000,150,6,6,6,Block Leverage,0.00808612367859282,0.18139666837316304,0.008874542191690643,0.16840996393336508,0.008920184675135166,0.16912936777968693
136,1000,150,6,6,6,Block Leverage,0.007969817787123384,0.18229824288957952,0.008900267284030346,0.1690245124204933,0.009008283504454954,0.16978682533041306
137,1000,150,6,6,6,Block Leverage,0.008551924144806607,0.1808223253340694,0.008941805239359946,0.1679504654398103,0.00906293953924946,0.16868368600479405
138,1000,150,6,6,6,Block Leverage,0.008693218544136199,0.18401470230868655,0.008977307095485733,0.16898108320220348,0.0091468539921894,0.1696332744681848
139,1000,150,6,6,6,Block Leverage,0.008322396151795627,0.18260438936095075,0.008915823608293223,0.1689036806494181,0.009025905326365961,0.1698041949559153
140,1000,150,6,6,6,Block Leverage,0.008422779937027175,0.1820220808182497,0.008767294706635715,0.1686204511321766,0.008942715644630027,0.1695581368452998
141,1000,150,6,6,6,Block Leverage,0.008327366219979159,0.18043478884665692,0.009052992816591702,0.16775746230875732,0.00913607175736956,0.16836624293208327
142,1000,150,6,6,6,Block Leverage,0.008072165151490524,0.18003553132967853,0.008945254072519445,0.16758174677570115,0.00901053103480274,0.16832919161020934
143,1000,150,6,6,6,Block Leverage,0.008618533535412573,0.18475974330694755,0.008745763902046632,0.16961749991941394,0.00901453166384112,0.1705530782196825
144,1000,150,6,6,6,Block Leverage,0.008231622019487779,0.18097329600645295,0.008880017232920139,0.168334262231772,0.0089841987882542,0.16898732068559966
145,1000,150,6,6,6,Block Leverage,0.008524142005189191,0.17984788293076723,0.009126907488185192,0.16809145086125116,0.009275711764646073,0.16886737062859758
146,1000,150,6,6,6,Block Leverage,0.008466263800126245,0.18204948108896407,0.008995319705718242,0.16852898448311568,0.00911725191244601,0.16927462058963702
147,1000,150,6,6,6,Block Leverage,0.008228246005525465,0.1810534503149468,0.008988201312204671,0.16812361772489834,0.009103449769401018,0.16873528009514507
148,1000,150,6,6,6,Block Leverage,0.008500484439799689,0.18288879947158707,0.008803709719353642,0.16906006358443745,0.008909681476241276,0.16969774469413387
149,1000,150,6,6,6,Block Leverage,0.008503228481327346,0.18167210273008813,0.008956008875577655,0.1688509394770518,0.008993042599089628,0.16945477162156233
